<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
20180919,500,1.31493,1.31567,1.3149,1.31532
20180919,600,1.31532,1.31627,1.31447,1.31493
20180919,700,1.31493,1.31759,1.31468,1.31599
20180919,800,1.31593,1.32146,1.31548,1.31958
20180919,900,1.31955,1.31992,1.31715,1.31799
20180919,1000,1.318,1.31944,1.3177,1.3181
20180919,1100,1.31814,1.31886,1.30974,1.31425
20180919,1200,1.31425,1.31444,1.31271,1.31386
20180919,1300,1.31386,1.31502,1.31234,1.31324
20180919,1400,1.31324,1.31546,1.31193,1.31514
20180919,1500,1.31518,1.31697,1.31473,1.31616
20180919,1600,1.31614,1.31678,1.31549,1.31615
20180919,1700,1.31615,1.31631,1.31257,1.31421
20180919,1800,1.3142,1.31461,1.31404,1.31445
20180919,1900,1.31444,1.31474,1.31419,1.31421
20180919,2000,1.31422,1.31484,1.3142,1.31427
20180919,2100,1.31425,1.31497,1.31303,1.31421
20180919,2200,1.31416,1.31446,1.31345,1.31381
20180919,2300,1.3138,1.3143,1.31364,1.314
20180920,0,1.314,1.31448,1.31388,1.31427
20180920,100,1.31428,1.31488,1.3142,1.31479
20180920,200,1.31479,1.31492,1.3144,1.3148
20180920,300,1.31481,1.31542,1.31469,1.31475
20180920,400,1.31474,1.3153,1.31469,1.31496
20180920,500,1.31496,1.31526,1.31465,1.3148
20180920,600,1.31479,1.31591,1.31428,1.31522
20180920,700,1.31523,1.31824,1.31514,1.31762
20180920,800,1.31762,1.32057,1.31753,1.31901
20180920,900,1.31901,1.32167,1.3189,1.32053
20180920,1000,1.32058,1.32356,1.32018,1.32346
20180920,1100,1.32343,1.32795,1.32305,1.32784
20180920,1200,1.32784,1.3298,1.3275,1.32868
20180920,1300,1.32868,1.3288,1.32609,1.32739
20180920,1400,1.32743,1.32835,1.32459,1.32529
20180920,1500,1.32533,1.32561,1.32341,1.3236
20180920,1600,1.32358,1.32453,1.32265,1.32445
20180920,1700,1.32443,1.32574,1.32441,1.3254
20180920,1800,1.3254,1.32692,1.325,1.32689
20180920,1900,1.32694,1.32783,1.32649,1.32696
20180920,2000,1.32697,1.32741,1.32589,1.32589
20180920,2100,1.32588,1.32719,1.3257,1.32702
20180920,2200,1.32701,1.32734,1.32678,1.32711
20180920,2300,1.3271,1.32736,1.32696,1.32698
20180921,0,1.32698,1.32747,1.32681,1.32746
20180921,100,1.32748,1.32752,1.32641,1.32657
20180921,200,1.3266,1.32727,1.32653,1.32712
20180921,300,1.32712,1.32748,1.32685,1.32733
20180921,400,1.32733,1.32765,1.32662,1.32701
20180921,500,1.32701,1.32741,1.32608,1.32654
20180921,600,1.32654,1.32695,1.32314,1.32471
20180921,700,1.3247,1.32526,1.32071,1.32108
20180921,800,1.32106,1.32328,1.32106,1.32171
20180921,900,1.32165,1.32202,1.3179,1.31871
20180921,1000,1.31871,1.31935,1.31806,1.31884
20180921,1100,1.31884,1.31978,1.31713,1.31719
20180921,1200,1.3172,1.31776,1.31427,1.31464
20180921,1300,1.31464,1.31519,1.30631,1.30699
20180921,1400,1.30697,1.30993,1.30558,1.30964
20180921,1500,1.30968,1.31014,1.30628,1.30661
20180921,1600,1.30661,1.30958,1.3062,1.30823
20180921,1700,1.30822,1.30838,1.30734,1.30786
20180921,1800,1.30787,1.30818,1.30715,1.30771
20180921,1900,1.30774,1.30827,1.30749,1.30795
20180921,2000,1.30795,1.30869,1.30674,1.30764
20180923,2100,1.30775,1.30824,1.30724,1.30789
20180923,2200,1.30792,1.30841,1.30749,1.3077
20180923,2300,1.3077,1.30795,1.30708,1.30792
20180924,0,1.30791,1.3088,1.30779,1.30861
20180924,100,1.30863,1.30863,1.30766,1.30778
20180924,200,1.30778,1.30805,1.30754,1.30771
20180924,300,1.30772,1.30787,1.30745,1.30762
20180924,400,1.30761,1.30805,1.30748,1.30797
20180924,500,1.30798,1.30831,1.30694,1.30717
20180924,600,1.3072,1.30845,1.30628,1.30834
20180924,700,1.30831,1.31134,1.30816,1.30981
20180924,800,1.30977,1.31242,1.30971,1.31184
20180924,900,1.31184,1.31284,1.31087,1.31219
20180924,1000,1.31219,1.31356,1.31203,1.31294
20180924,1100,1.31294,1.3154,1.31291,1.3151
20180924,1200,1.3151,1.31612,1.31384,1.31385
20180924,1300,1.31385,1.31667,1.31378,1.31455
20180924,1400,1.31459,1.31484,1.31264,1.31386
20180924,1500,1.31385,1.31446,1.31187,1.31277
20180924,1600,1.31278,1.31296,1.31222,1.3123
20180924,1700,1.3123,1.3123,1.31101,1.312
20180924,1800,1.31201,1.31249,1.31175,1.31178
20180924,1900,1.31179,1.31197,1.3111,1.31124
20180924,2000,1.31124,1.31192,1.31122,1.31192
20180924,2100,1.31192,1.31224,1.31083,1.31185
20180924,2200,1.3118,1.31191,1.31116,1.31151
20180924,2300,1.31151,1.3117,1.31125,1.31157
20180925,0,1.31157,1.31186,1.31135,1.31137
20180925,100,1.31137,1.31186,1.31087,1.31088
20180925,200,1.31088,1.31094,1.31035,1.31069
20180925,300,1.31068,1.3107,1.3102,1.3104
20180925,400,1.3104,1.31048,1.31013,1.31027
20180925,500,1.31028,1.31092,1.31019,1.31077
20180925,600,1.31079,1.31229,1.31025,1.31082
20180925,700,1.31083,1.31513,1.30947,1.3142
